scenario,controller,seed,window_end_s,mainline_vehicle_observations,mainline_speed_mps,mainline_occupancy,bottleneck_throughput_veh,ramp_vehicle_mean_veh,ramp_vehicle_max_veh,ramp_halting_mean_veh,ramp_halting_max_veh,departed_veh,arrived_veh,teleports,collisions,requested_rate_vph,applied_rate_vph,green_s,red_s,state_mismatches
400+80,none,1,930,5,29.869421243067404,0.013115105677532787,5,5.0,5,4.166666666666667,5,125,83,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,960,3,25.761849563708733,0.007319663937797334,3,4.166666666666667,5,3.9,4,129,84,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,990,4,32.038838870817514,0.0030392865898780505,4,4.666666666666667,5,3.566666666666667,4,132,91,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1020,5,25.42433309975646,0.015788962930855632,5,4.0,4,4.0,4,137,93,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1050,5,28.4624820871364,0.008462760428665205,5,5.566666666666666,6,4.0,4,141,99,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1080,4,29.829926768051,0.01051091743094427,4,6.133333333333334,7,5.666666666666667,6,144,101,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1110,4,26.733201878726057,0.012062305682195528,4,6.366666666666666,7,5.433333333333334,6,149,102,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1140,2,31.21530878705427,0.005020572644302016,2,6.0,6,6.0,6,153,106,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1170,3,29.389247882969325,0.008159636435777884,3,6.666666666666667,7,6.0,6,156,112,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1200,5,30.130102745789628,0.010735170236675156,5,7.0,7,6.7,7,161,116,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1230,7,24.64541808159326,0.013886035219142438,7,7.166666666666667,8,6.166666666666667,7,165,120,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1260,3,30.226246807458754,0.00777534446400144,3,7.466666666666667,8,6.8,7,168,122,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1290,3,31.819680883340492,0.007386188970091704,3,8.0,8,6.933333333333334,7,173,123,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1320,6,28.375477178622752,0.013712140911225863,6,8.0,8,7.5,8,177,129,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1350,3,26.665365660151036,0.00905895370210601,3,7.9,8,7.166666666666667,8,180,133,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1380,5,27.19277616260399,0.01021123520643717,5,8.066666666666666,9,5.533333333333333,8,185,139,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1410,8,25.739771853424628,0.01336908061257797,8,6.166666666666667,7,4.966666666666667,6,189,142,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1440,5,28.224291907499385,0.009263845861266874,5,7.0,7,6.3,7,192,146,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1470,3,30.766543942239917,0.007688812162750007,3,6.933333333333334,7,6.533333333333333,7,197,150,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1500,3,25.126929255551136,0.009785409888786489,3,7.0,7,6.3,7,201,153,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1530,7,28.53249456852753,0.015458299237188082,7,7.766666666666667,8,6.733333333333333,7,204,156,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1560,6,27.913478448319,0.008394349929968332,6,7.666666666666667,8,7.0,7,209,162,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1590,5,31.130567246191653,0.008685309764355982,5,8.133333333333333,9,7.666666666666667,8,213,165,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1620,6,27.923662367301944,0.011846411058885072,6,8.0,8,7.3,8,216,167,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1650,1,32.70741731330382,0.002394971531471886,1,8.4,9,8.0,8,221,175,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1680,4,27.900868324992956,0.011596285846079961,4,8.8,9,7.833333333333333,8,225,179,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1710,4,28.773398620879743,0.007026128258579926,4,9.0,9,8.566666666666666,9,228,183,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1740,6,30.07935207230637,0.012613743380696481,6,9.0,9,9.0,9,233,187,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1770,1,19.890025630577313,0.00393832239275298,1,9.133333333333333,10,8.066666666666666,9,237,189,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1800,8,26.456804489599637,0.018999599708683944,8,9.966666666666667,10,9.066666666666666,10,240,192,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1830,5,31.228260349091034,0.008847376083709453,5,10.466666666666667,11,9.833333333333334,10,245,195,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1860,2,23.536440907047766,0.006789470143799766,2,10.0,10,9.666666666666666,10,249,199,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1890,6,28.62440355559642,0.007496535107270575,6,10.733333333333333,11,10.0,10,252,200,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1920,4,28.931650078360374,0.005344046168719766,4,10.833333333333334,11,10.533333333333333,11,257,207,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1950,6,26.190923677759628,0.006930260105108724,6,11.433333333333334,12,10.033333333333333,11,261,211,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,1980,4,28.259286995074348,0.005763401965039824,4,12.0,12,11.766666666666667,12,264,215,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,2010,4,25.259203413819133,0.012719653277539085,4,11.833333333333334,12,11.166666666666666,12,269,216,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,2040,5,26.95000657001968,0.011465726066505037,5,12.333333333333334,13,11.666666666666666,12,273,221,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,2070,6,28.952376342254254,0.016336226373277897,6,13.066666666666666,14,12.566666666666666,13,276,225,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,2100,2,31.427645243870753,0.004985048505742876,2,13.833333333333334,14,13.0,14,281,227,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,2130,4,28.197857224872532,0.011419235718919177,4,13.366666666666667,14,13.0,13,285,230,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,2160,4,30.220088232872985,0.0104787433368377,4,13.7,14,13.166666666666666,14,288,234,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,2190,4,25.647174803273646,0.007961723668214897,4,13.6,14,12.7,13,293,241,0,0,1200.0,1200.0,30.0,0.0,0
400+80,none,1,2220,5,26.619896111441356,0.015030686888068582,5,13.0,13,13.0,13,297,246,0,0,1200.0,1200.0,30.0,0.0,0
